"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 18 21:00:45 UTC 2026","Mon May 18 21:00:45 UTC 2026","79","","TC-041: Получение albums пользователя","","org.izuum.jsonPlaceholder.apiTests.nestedRoutesTests.GetAlbumsOfUserTest","getRequestCheckStatusCode","TC-041: Статус-код 200",""
"passed","Mon May 18 21:00:38 UTC 2026","Mon May 18 21:00:38 UTC 2026","288","","TC-100: Сравнение полученного user и todo относящиеся к user","","org.izuum.jsonPlaceholder.apiTests.integrationTests.GetUserAndChainedTodosTest","getUserAndChainedTodosTest","TC-100: Проверка что каждый todo.userId совпадает с user.id",""
"passed","Mon May 18 21:00:37 UTC 2026","Mon May 18 21:00:38 UTC 2026","169","","TC-099: Сравнение полученного album и photos относящихся к album","","org.izuum.jsonPlaceholder.apiTests.integrationTests.GetAlbumAndChainedPhotosTest","getAlbumAndChainedPhotos","TC-099: Проверка что album.id совпадает со всеми albumId во всех photos",""
"passed","Mon May 18 21:00:49 UTC 2026","Mon May 18 21:00:49 UTC 2026","76","","TC-010: Получение todo по id","","org.izuum.jsonPlaceholder.apiTests.smokeTests.GetToDoByIdTest","getRequestCheckFieldCompletedIsBoolean","TC-010: Поле completed имеет тип boolean",""
"passed","Mon May 18 21:00:42 UTC 2026","Mon May 18 21:00:42 UTC 2026","120","","Проверка структуры объектов на каждом эндпоинте","","org.izuum.jsonPlaceholder.apiTests.structureAndTypeTests.CheckStructureOfObjectsTest","checkValidCompletedField","TC-024: Проверка допустимости поля completed",""
"passed","Mon May 18 21:00:50 UTC 2026","Mon May 18 21:00:50 UTC 2026","106","","TC-096: Удаление user","","org.izuum.jsonPlaceholder.apiTests.deleteDataTests.DeleteUserTest","checkStatusCodeOfDeleteUser","TC-096: Статус-код 200",""
"passed","Mon May 18 21:00:52 UTC 2026","Mon May 18 21:00:52 UTC 2026","106","","TC-064: Создание post только с обязательными полями","","org.izuum.jsonPlaceholder.apiTests.createResources.CreatePostWithRequiredFieldsTest","checkThatStatusCodeCreated","TC-064: Статус-код 201",""
"passed","Mon May 18 21:00:57 UTC 2026","Mon May 18 21:00:57 UTC 2026","56","","TC-029: Фильтрация todos по userId","","org.izuum.jsonPlaceholder.apiTests.filterQueryParamTests.FilteringToDosByUserIdTest","getRequestCheckStatusCodee","TC-029: Статус-код 200",""
"passed","Mon May 18 21:00:59 UTC 2026","Mon May 18 21:01:00 UTC 2026","187","","TC-031: Фильтрация todos по completed = false","","org.izuum.jsonPlaceholder.apiTests.filterQueryParamTests.FilteringToDosByCompletedFalseTest","getRequestCheckStatusCode","TC-031: Статус-код 200",""
"passed","Mon May 18 21:00:54 UTC 2026","Mon May 18 21:00:54 UTC 2026","165","","TC-069: Создание post с очень длинными значениями title/body","","org.izuum.jsonPlaceholder.apiTests.createResources.CreatePostWithLongValueTest","checkThatDataReturnWithoutTrim","TC-069: Данные возвращаются без обрезки в теле ответа [2] 1000",""
"passed","Mon May 18 21:00:42 UTC 2026","Mon May 18 21:00:42 UTC 2026","99","","Проверка структуры объектов на каждом эндпоинте","","org.izuum.jsonPlaceholder.apiTests.structureAndTypeTests.CheckStructureOfObjectsTest","checkStructureOfCompany","TC-021: Проверка структуры company у объекта user",""
"passed","Mon May 18 21:00:57 UTC 2026","Mon May 18 21:00:57 UTC 2026","183","","TC-056: Запрос ToDo с несуществующим id","","org.izuum.jsonPlaceholder.apiTests.negativeReadTests.GetToDoByNotExistsIdTest","checkExpectedNotServerError","TC-056: Статус-код не 5хх",""
"passed","Mon May 18 21:00:57 UTC 2026","Mon May 18 21:00:57 UTC 2026","70","","TC-025: Фильтрация posts по userId","","org.izuum.jsonPlaceholder.apiTests.filterQueryParamTests.FilteringPostsByUserIdTest","checkThatAllElementsOfPostsHasSpecificUserId","TC-025: Все элементы posts имеют userId = 1",""
"passed","Mon May 18 21:00:51 UTC 2026","Mon May 18 21:00:51 UTC 2026","104","","TC-068:(БАГ) Создание post с невалидным JSON Payload","","org.izuum.jsonPlaceholder.apiTests.createResources.CreatePostWithInvalidJsonPayloadTest","checkThatClientAndServerHandlesErrorCorrectly","TC-068:(БАГ) Клиент/сервер корректно обрабатывает ошибку [6] ""null""",""
"passed","Mon May 18 21:00:39 UTC 2026","Mon May 18 21:00:39 UTC 2026","131","","TC-076: Отправка put-запроса с несовпадающим id в url и body","","org.izuum.jsonPlaceholder.apiTests.fullReplaceData.FullReplaceWithNoMatchersIdTest","checkThatClientCheckConflictOfContract","TC-076: Проверка что клиент проверяет конфликтность контракта",""
"passed","Mon May 18 21:00:48 UTC 2026","Mon May 18 21:00:48 UTC 2026","83","","TC-001: Получение коллекции posts","","org.izuum.jsonPlaceholder.apiTests.smokeTests.GetCollectionOfPostsTest","getRequestCheckResponseIsAnArray","TC-001: Ответом является массив",""
"passed","Mon May 18 21:00:48 UTC 2026","Mon May 18 21:00:48 UTC 2026","74","","TC-011: Получение коллекции users","","org.izuum.jsonPlaceholder.apiTests.smokeTests.GetCollectionOfUsersTest","getRequestCheckResponseIsAnArray","TC-011: Ответ является массивом",""
"passed","Mon May 18 21:00:38 UTC 2026","Mon May 18 21:00:38 UTC 2026","286","","TC-097: Сравнение полученного user и posts относящиеся к этому user","","org.izuum.jsonPlaceholder.apiTests.integrationTests.GetUserAndChainedPostsTest","getUserAndChainedPosts","TC-097: id пользователя используется во всех posts, данные консистентны",""
"passed","Mon May 18 21:00:47 UTC 2026","Mon May 18 21:00:47 UTC 2026","100","","TC-003: Получение коллекции comments","","org.izuum.jsonPlaceholder.apiTests.smokeTests.GetCollectionOfCommentsTest","getRequestCheckStatusCode","TC-003: Статус-код 200",""
"passed","Mon May 18 21:00:44 UTC 2026","Mon May 18 21:00:44 UTC 2026","86","","TC-050: Получение nested route для несуществующего user","","org.izuum.jsonPlaceholder.apiTests.nestedRoutesTests.GetNotExistsNestedRouteForUserTest","checkThatResponseHasEmptyList","TC-050: Ответ содержит пустой массив",""
"passed","Mon May 18 21:00:48 UTC 2026","Mon May 18 21:00:48 UTC 2026","58","","TC-001: Получение коллекции posts","","org.izuum.jsonPlaceholder.apiTests.smokeTests.GetCollectionOfPostsTest","getRequestCheckStatusCode","TC-001: Статус-код 200",""
"passed","Mon May 18 21:00:55 UTC 2026","Mon May 18 21:00:55 UTC 2026","190","","TC-061: Запрос post с некорректным путем с двойным слешем","","org.izuum.jsonPlaceholder.apiTests.negativeReadTests.GetPostWithIncorrectPathDoubleSlashTest","checkExpectedNotServerError","TC-061: Статус-код не 5хх",""
"passed","Mon May 18 21:00:51 UTC 2026","Mon May 18 21:00:51 UTC 2026","115","","TC-068:(БАГ) Создание post с невалидным JSON Payload","","org.izuum.jsonPlaceholder.apiTests.createResources.CreatePostWithInvalidJsonPayloadTest","checkThatClientAndServerHandlesErrorCorrectly","TC-068:(БАГ) Клиент/сервер корректно обрабатывает ошибку [4] ""{ \""title\"": \""test\"", }""",""
"passed","Mon May 18 21:00:57 UTC 2026","Mon May 18 21:00:57 UTC 2026","77","","TC-029: Фильтрация todos по userId","","org.izuum.jsonPlaceholder.apiTests.filterQueryParamTests.FilteringToDosByUserIdTest","checkThatAllToDosHasSpecificUserId","TC-029: Каждый todo содержит userId = 1",""
"passed","Mon May 18 21:00:38 UTC 2026","Mon May 18 21:00:38 UTC 2026","186","","TC-098: Сравнение полученного post и comments относящихся к post","","org.izuum.jsonPlaceholder.apiTests.integrationTests.GetPostAndChainedCommentsTest","getPostAndChainedComments","TC-098: Проверка что post.id совпадает с postId во всех comments",""
"passed","Mon May 18 21:00:40 UTC 2026","Mon May 18 21:00:41 UTC 2026","581","","TC-078:(БАГ) Отправка put-запроса для несуществующего id","","org.izuum.jsonPlaceholder.apiTests.fullReplaceData.SendPutRequestWithNotExistsIdTest","checkStableAnswerOfService","TC-078:(БАГ) Стабильный ответ сервиса, фиксация фактического статуса",""
